,Category,Skills,Degree,Institution
0,HR,"['  Accounting', ' ad', ' advertiing', ' analytical kill', ' benefit', ' billing', ' budgeting', ' client', ' Cutomer Service', ' data analyi', ' delivery', ' documentation', ' employee relation', ' financial management', ' government relation', ' Human Reource', ' inurance', ' labor relation', ' layout', ' Marketing', ' marketing collateral', ' medical billing', ' medical terminology', ' office', ' organizational', ' payroll', ' performance review', ' peronnel', ' policie', ' poter', ' preentation', ' public relation', ' purchaing', ' reporting', ' tatitic', ' webite ']","[' NA', ' High School Diploma']","[' Jefferon College', ' Sainte Genevieve Senior High']"
1,HR,"[' Adobe Photohop', ' ADP', ' Aet Management', ' branding', ' brochure', ' content', ' Cutomer Care', ' Final Cut Pro', ' graphic', ' graphic', ' HR', ' Illutrator', ' InDeign', ' Innovation', ' inventory', ' Lotu Note', ' marketing', ' marketing material', ' marketing material', ' material', ' Microoft Office', ' SharePoint', ' newletter', ' preentation', ' proce improvement', ' Project Management', ' promotional material', ' publication', ' Quality', ' real-time', ' Recruitment', ' reporting', ' RFP', ' ale', ' torie', ' Employee Development', ' video', ' web deign', ' webite', ' article']","[' Mater of Art', ' Bachelor of Art']","[' Sacred Heart Univerity', ' Wetern Connecticut State Univerity']"
2,HR,"['   Dektop Publihing', '\xa0  Newletter production', '   DATABASE Management', '   Leaderhip Training', '  OSHA', ' FMLA', ' Worker Compenation   PageMaker', '   Agency Automation', ' back-up', '   Benefit', '  Budget management', '  Corel Suite', '   Harvard Graphic', '  Acce', ' Excel', ' Microoft Publiher', ' MS Word', '\xa0   Quark Expre', ' Quattro Pro', '   Strategic Planning', '\xa0   Web page development', '   WordPerfect  ']","["" Mater' Degree"", ' Bachelor of Science']","[' Friend Univerity', ' Friend Univerity']"
3,HR,"[' 10-Key by touch', ' Type 50 wpm', ' filing', ' Acce', ' \xa0Microoft Excel', ' Microoft Outlook', ' Microoft PowerPoint', ' Microoft Word  ']",[' Certificate of CompletionBuine Adminitration'],[' Texa AM Extenion Service']
4,HR,"[' ADA', ' ADP', ' art', ' agency', ' benefit', ' Benefit Adminitration', ' Coach', ' coaching', ' conflict reolution', ' continuou improvement', ' contract', ' deciion making', ' delivery', ' direction', ' Employee Relation', ' pecial event', ' financial', ' functional', ' Hiring', ' HRIS', ' human reource management', ' Human Reource', ' Human Reource', ' HR', ' human relation', ' Krono', ' Lawon', ' leaderhip', ' leaderhip development', ' Law', ' legal compliance', ' Director', ' managing', ' management reporting', ' Mediation', ' Acce', ' Excel', ' MS Office', ' office', ' Outlook', ' PowerPoint', ' Publiher', ' win', ' Word', ' negotiating', ' Negotiation', ' Organizational Development', ' organizational', ' payroll', ' Peak', ' Performance Management', ' peronnel', ' Policie', ' problem olving', ' procee', ' Profit', ' implement program', ' Project Management', ' quality', ' quantitative analyi', ' Recruitment', ' recruiting', ' reporting', ' afety', ' ound', ' taff development', ' taffing', ' trategy', ' Strategic', ' Structured', ' urvey', ' team- work', ' teamwork', ' Viio', ' Viion', ' workhop']",[' Bachelor of Buine Adminitration'],[' MOUNT VERNON NAZARENE UNIVERSITY']
5,HR,"[' adminitrative', ' Adminitrative Aitant', ' bi', ' conference', ' databae', ' pecial event', ' filing', ' Human Reource Management', ' HR', ' Human Reource Management', ' Excel', ' Exchange', ' Microoft Office', ' Office', ' Outlook', ' PowerPoint', ' Word', ' newletter', ' Paralegal', ' Performance Management', ' procee', ' Publication', ' Recruitment', ' Strategic Planning', ' Supervior', ' training program', ' travel arrangement', ' Viio', ' Webite', ' workhop', ' annual report']","[' ABA Approved Paralegal Program Certification', ' Montclair State Univerity', ' Eex County College', ' New York Intitute of Technology']","[' BA', ' AS', ' Certificate in SHRM Eential of Human Reource Management 62013 Program HighlightPerformance Management-    Critical AnalyiRecruitment and Selection-    Strategic PlanningEffective Human Reource Management-    Etablihing Competencie', 'NA']"
6,HR,"[' ADA', ' ADMINISTRATIVE SKILLS', ' adminitrative', ' coaching', ' Employee Relation', ' training employee', ' Englih', ' Special Event', ' hiring', ' HRIS', ' Human Reource', ' HR', ' InDeign', ' Leaderhip Development', ' Director', ' managing', ' Mediation', ' Microoft Office Suite', ' Publiher', ' Sharepoint', ' Newletter', ' Organizational Development', ' PeopleSoft', ' Performance Management', ' Policie', ' Project Management', ' quality', ' Quark', ' managing the retaurant', ' afety', ' cheduling', ' Spanih', ' uperviion', ' Teacher', ' Teaching', ' training material', ' Web Deign', ' workhop']",[' Bachelor of Science BS'],"["" TEXAS WOMAN'S UNIVERSITY""]"
7,HR,"[' adminitrative', ' ADP', ' backup', ' Benefit', ' bookkeeping', ' clarify', ' competitive', ' cutomer ervice', ' databae', ' delivery', ' documentation', ' employee relation', ' filing', ' government', ' HR', ' human reource', ' human reource', ' inurance', ' job analyi', ' laborrelation', ' law enforcement', ' Team building', ' letter', ' market', ' meeting', ' mail', ' office', ' Payroll proceing', ' payroll', ' peronnel', ' policie', ' procee', ' Project management', ' propoal', ' quality', ' recruiting', ' recruitment', ' afety', ' trategy', ' employee handbook', ' vendormanagement', ' vendormanagement', ' viion', ' year-end']","[' Bachelor of Science', ' MBA', ' MBA']","[' Univerity of Phoenix - San Joe Learning Center', ' Univerity of Phoenix', ' Notre Dame de Namur Univerity']"
8,HR,"[' Problem-olve and erve a change agent to enure that HR function are included in organizational miion Negotiate budget reviion to include HR initiative Enure excellent cutomer ervice delivery', ' provide tatefederal and oft-kill managementemployee training Conduct job analye', ' a well a conduct compenationjob market analyi', ' and deliver and meaure leaderhip training Develop', ' implement', ' and monitor performance management Develop', ' implement', ' and monitor peronnel policie and procedure', ' and manage full-cycle recruitment']",[' Bachelor of Art'],[' NC State Univerity']
9,HR,"[' account payable', ' adminitrative', ' adminitrative upport', ' AP', ' benefit', ' benefit adminitration', ' bookkeeping', ' clerical', ' Continuou Improvement', ' databae', ' employee relation', ' financial', ' functional', ' General Ledger', ' Human Reource', ' Human Reource', ' HR', ' interpretation', ' invoicing', ' legal', ' employee management', ' meeting', ' MRP', ' payroll', ' purchaing', ' receiving', ' recruitment', ' reporting', ' reearch', ' Safety', ' cheduling', ' ecretarial', ' taffing', ' uperviion']","[' SHRM Learning Sytem - SHRMProgram cover the SHRM Body of Competency and Knowledge SHRM BoCK  preparing for the SHRM-CPSHRM-SCP certification examination', "" Bachelor' Degree BSMHRM"", ' Aociate Degree', ' SHRM-CP Certification SHRM']","[' SHRM', ' Univerity of Phoenix', ' Blue Ridge Community College', ' PROFESSIONAL CREDENTIALS Blue Ridge Community College']"
